SKU,Name,UPCBarcode,Price,ImageURL
BT7154-2-BLK-XS,Ellody Dress,9360263062803,89,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7154-2_Ellody Dress_Black_1.jpg
BT7154-2-BLK-S,Ellody Dress,9360263062810,89,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7154-2_Ellody Dress_Black_1.jpg
BT7154-2-BLK-M,Ellody Dress,9360263062827,89,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7154-2_Ellody Dress_Black_1.jpg
BT7154-2-BLK-L,Ellody Dress,9360263062834,89,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7154-2_Ellody Dress_Black_1.jpg
BT7154-2-BLK-XL,Ellody Dress,9360263062841,89,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7154-2_Ellody Dress_Black_1.jpg
BT7160-1-BLK-XS,Elsie Top,9360263063657,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Black_1.jpg
BT7160-1-BLK-S,Elsie Top,9360263063664,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Black_1.jpg
BT7160-1-BLK-M,Elsie Top,9360263063671,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Black_1.jpg
BT7160-1-BLK-L,Elsie Top,9360263063688,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Black_1.jpg
BT7160-1-BLK-XL,Elsie Top,9360263063695,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_Black_1.jpg
BT7160-1-WHT-XS,Elsie Top,9360263063756,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_White_1.jpg
BT7160-1-WHT-S,Elsie Top,9360263063763,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_White_1.jpg
BT7160-1-WHT-M,Elsie Top,9360263063770,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_White_1.jpg
BT7160-1-WHT-L,Elsie Top,9360263063787,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_White_1.jpg
BT7160-1-WHT-XL,Elsie Top,9360263063794,45,https://cdn2.xorosoft.io/xo10236/FT_ROOT/Internal/ItemImages/BT7160-1_Elsie Top_White_1.jpg
